applicationName,evaluationDate,stage
qtscan,2022-01-22T17:57:55.152Z,build
laravel,2022-01-22T17:50:00.159Z,build
successmetrics,2022-01-22T18:00:44.703Z,build
p1,2022-01-22T17:55:49.136Z,build
webgoat-vscode,2021-12-14T13:55:58.956Z,develop
webgoat3__solao,2022-02-22T12:00:48.795Z,source
wg-remed,2022-01-22T18:06:14.285Z,build
gcalendarapp,2022-02-01T18:20:15.105Z,build
conanapp3,2022-01-22T17:46:54.018Z,build
openssl300,2022-01-22T17:55:17.804Z,build
consumerapp2,2022-02-21T16:12:26.635Z,build
velo2,2022-01-22T18:01:16.759Z,build
wbg11,2022-01-22T18:02:20.906Z,build
wbg11,2022-02-22T12:00:39.413Z,source
wg3,2022-02-09T18:39:16.334Z,build
wg1,2022-01-22T18:06:48.100Z,build
wg1,2022-02-22T12:00:38.144Z,source
App1,2022-02-22T00:32:56.312Z,release
jsapp,2022-02-08T09:52:35.913Z,build
jsapp,2022-02-07T11:37:22.778Z,develop
webgoat4__solao,2022-02-22T12:00:49.359Z,source
loadscanxml,2022-01-22T17:50:32.799Z,build
maven-simple,2022-01-22T17:51:06.371Z,build
producer2,2022-01-22T17:57:23.993Z,build
webgoat-bamboo,2022-01-22T18:04:32.131Z,build
service,2022-02-17T18:10:05.775Z,build
wg10,2022-01-22T18:07:20.628Z,build
wg10,2022-02-22T12:00:38.411Z,source
sm-v1,2021-09-08T13:35:30.292+01:00,develop
wg2,2022-01-22T18:07:53.201Z,build
velocity,2022-01-22T18:01:48.690Z,build
jsapp1,2022-02-08T09:55:24.084Z,build
jline2,2022-01-22T17:49:28.977Z,build
webgoat1,2022-01-22T18:05:41.850Z,build
producer,2022-02-02T16:50:47.915Z,build
core,2022-02-17T18:10:16.516Z,build
openssl111k-2,2022-01-22T17:54:46.382Z,build
conanapp5,2022-01-22T17:47:56.129Z,build
webgoat2b__solao,2022-02-22T12:00:38.283Z,source
conanapp4,2022-01-22T17:47:25.138Z,build
rapp,2022-01-22T17:58:57.360Z,build
openssl102h,2022-01-22T17:53:44.165Z,build
openssl111k,2022-01-22T17:54:15.281Z,build
mm-webapp,2022-02-17T18:25:16.182Z,build
con2,2022-02-21T16:04:32.143Z,build
webgoat,2022-01-22T18:03:58.919Z,build
openssl102-2,2022-01-22T17:53:12.915Z,build
r1,2022-01-22T17:58:26.145Z,build
prod3,2022-02-07T13:10:54.110Z,build
webg2,2022-01-22T18:03:26.018Z,build
webg2,2022-02-22T12:00:38.518Z,source
simple-gradle,2022-01-22T17:59:28.708Z,build
openssl102,2022-01-22T17:52:41.417Z,build
jsapp2,2022-02-08T10:35:02.672Z,build
mm-service,2022-02-17T18:25:04.953Z,build
webgoat2a__solao,2022-02-22T12:00:38.988Z,source
yarn-tut__solao,2022-02-22T12:00:32.248Z,source
maven-simple-2,2022-01-22T17:51:38.285Z,build
pyapp2,2022-02-18T11:24:06.884Z,develop
debapp,2022-01-22T17:48:27.363Z,build
bspecs__solao,2022-02-22T12:00:32.010Z,source
webgoat-legacy-ci-2,2022-01-25T16:13:08.767Z,build
simpleapp,2022-01-26T08:13:52.591Z,build
maven-simple1,2022-01-22T17:52:10.294Z,build
prod2,2022-01-22T17:56:20.670Z,build
cons2,2022-02-21T16:05:19.855Z,build
wbg20,2022-01-22T18:02:53.450Z,build
wbg20,2022-02-22T12:00:37.726Z,source
smproto-ui,2022-01-22T18:00:07.934Z,build
jline,2022-01-22T17:48:58.299Z,build
conanapp,2022-02-04T14:58:53.954Z,build
conanapp2,2022-01-22T17:46:22.780Z,build
yarntut,2021-09-08T13:36:21.062+01:00,develop
mm-core,2022-02-17T18:24:53.501Z,build
