policyName,reason,applicationName,openTime,component,stage,threatLevel
Security-Medium,sonatype-2021-4517,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/ch.qos.logback/logback-classic@1.0.3?type=jar",release,7
Security-Medium,CVE-2020-26259,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,7
Security-Medium,CVE-2012-5575,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2013-2172,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2013-4517,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2013-5823,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2019-17573,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2020-0187,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2020-13954,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2020-15522,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2020-1954,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2021-22569,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2021-43797,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,sonatype-2013-0070,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,sonatype-2014-0173,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,sonatype-2020-0026,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,sonatype-2020-0770,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,sonatype-2020-0926,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,sonatype-2021-0818,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,7
Security-Medium,CVE-2021-44832,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/org.apache.logging.log4j/log4j-core@2.14.1?type=jar",release,7
Security-Medium,CVE-2021-45105,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/org.apache.logging.log4j/log4j-core@2.14.1?type=jar",release,7
Security-Critical,CVE-2017-5929,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/ch.qos.logback/logback-classic@1.0.3?type=jar",release,10
Security-Critical,CVE-2013-7285,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2021-21342,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2021-21344,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2021-21345,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2021-21346,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2021-21347,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2021-21350,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,10
Security-Critical,CVE-2017-7525,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,10
Security-Critical,CVE-2021-44228,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/org.apache.logging.log4j/log4j-core@2.14.1?type=jar",release,10
Security-Critical,CVE-2021-45046,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/org.apache.logging.log4j/log4j-core@2.14.1?type=jar",release,10
Security-Critical,sonatype-2021-4560,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/org.apache.logging.log4j/log4j-core@2.14.1?type=jar",release,10
